date,SPY,AMZN,JPM,PFE,TSLA,WMT,BA,PEP,MRO,DPZ,SPY
2017-11-02,0.012163,0.015758692,-0.001773131,0.002534716,0.022566383,0.00986094,-0.003356237,0.001543753,0.009026497,-0.000842693,0.012162576
2017-11-03,-0.046384,0.00811736,-0.006232256,-0.00649062,-0.010872691,-0.010987609,0.008824331,-0.008748039,0.047015878,-0.025499233,-0.046383528
2017-11-06,0.062466,0.002237247,-0.020348256,0.001131815,0.010742002,0.002814339,0.00777075,0.011013502,-0.010464766,-0.019560305,0.062466136
2017-11-07,-0.00453,0.008608018,-0.011304064,-0.000565748,-0.00543873,0.01462026,-0.002106331,0.013754913,-0.025698675,-0.00820521,-0.004529876
2017-11-08,0.032294,-0.003315638,-0.000102515,0.005126572,-0.004609939,0.000442836,-0.005504475,-0.004653703,0.001902859,0.026323196,0.032293875
2017-11-09,0.009654,-0.003353308,-0.001229872,-0.000568052,0,0.006842597,-0.007067449,0.011327873,-0.010191201,0.000692509,0.009653646
2017-11-10,-0.043532,0.003388716,0.003582826,0.003405067,0.040141905,0.000769495,0.006000934,0.011376126,-0.004491404,-0.00173226,-0.043532213
2017-11-13,-0.02183,0.006769617,-0.006047036,0.002263796,-0.021471742,0.001098509,-0.002518187,0.014969933,-0.043513789,0.015085296,-0.021830122
2017-11-14,-0.005315,-0.008968353,0.009413583,-0.000565548,0.008387081,-0.013928939,0.004193281,-0.005717837,-0.003375039,0.000569344,-0.005314641
2017-11-15,0.016693,0.009364091,0.002847536,0.005640088,0.003847424,0.103444088,0.003190797,0.001128824,-0.018424131,0.009681899,0.016692755
2017-11-16,-0.020066,-0.00653679,-0.003356958,-0.005357221,0.008126855,-0.021818512,-0.005475796,-0.00478452,0.035850937,0.006627119,-0.020065754
2017-11-17,0.035918,-0.003164648,0.008826015,-0.000565778,-0.02023181,0.000102633,0.008996356,0.002003822,-0.039300632,-0.004938066,0.035917879
2017-11-20,0.031299,0.011634009,-0.000808409,0.00536035,0.028954205,-0.009897175,0.008878543,0.009871855,0.003449695,-0.005018789,0.031298635
2017-11-21,0.004618,0.014523375,-0.002935823,-0.003099647,-0.016529302,-0.001140257,-0.006915691,-0.008393725,0.024490981,-0.001867586,0.004617704
2017-11-22,-0.020329,0.025482132,-0.003249369,0.001691917,0.009392746,0.002175861,0.002749353,0.007100356,0.016661461,0.004464643,-0.020329357
2017-11-24,-0.066414,0.008254221,-0.003974495,0,0.003985061,0,-0.00112899,-0.000431465,-0.043911231,-0.016029661,-0.066413604
2017-11-27,0.042614,-0.001866554,0.03442567,0.010092658,0.00233303,0.001551353,0.00903377,0.007909804,0.005509769,-0.012860031,0.042613574
2017-11-28,-0.062591,-0.027459734,0.023112729,0.009991778,-0.032030111,0.008130485,0.004876303,0.000599155,0.01296508,0.039155762,-0.062590917
2017-11-29,0.059405,0.013242219,0.007587096,0.001380067,0.004250578,-0.003388188,0.027469164,0.004171126,0.00608311,0.03827167,0.059405017
2017-11-30,-0.024785,-0.012312617,0.002579889,0.002478721,-0.007540092,0.001233494,-0.019775058,0.002228942,0.01604303,-0.00830708,-0.024784622
2017-12-01,0.039305,-0.024736741,0.020403001,-0.008009934,-0.004348314,-0.003498707,0.023993098,0.005806094,-0.012008061,0.016119023,0.039304631
2017-12-04,0.027915,0.006697413,-0.011567249,-0.011996231,-0.004926911,0.008417167,-0.008780238,0.001106027,-0.001343158,-0.011363565,0.02791516
2017-12-05,0.00931,0.009398845,-0.007500566,-0.001966679,0.030993112,-0.005637664,0.009858876,0.01107893,-0.029323629,-0.023619017,0.009310201
2017-12-06,-0.027272,0.006435584,-0.002958876,-0.001688724,-0.006469182,0.00010299,0.013208773,-0.018419229,0.019870454,-0.009204983,-0.027271574
2017-12-07,-0.019986,0.001903704,0.012443753,0.006737852,0.012420933,-0.00237924,0.013841557,-0.001371668,0.027435546,0.024215729,-0.01998584
2017-12-08,-0.049067,0.005937604,-0.002930729,0.013064929,0.042798859,0.003928046,-0.009630236,0.007009823,0,-0.016170504,-0.049067345
2017-12-11,0.061809,-0.00329044,0.011578299,0.010166302,0.036186338,-0.002375644,0.023662277,8.51E-05,0.001978481,-0.001936163,0.061808902
2017-12-12,-0.064251,-0.000815744,-0.012620299,0.001638906,-0.005881866,0.010902085,0.006531526,0.003401465,0.001316491,-0.000553877,-0.064251232
2017-12-13,0.031873,0.008664135,-0.008088753,-0.004924901,-0.003368156,-0.006465262,0.006965765,0.001865684,-0.005277096,0.01362521,0.031872702
2017-12-14,0.031517,0.004147197,0.014042026,0.020092962,0.016321127,-0.000205864,0.000204071,0.010116591,-0.007301726,0.01371224,0.031516885
2017-12-15,0.024625,0.00965519,0.007695977,-0.001883197,-0.013424987,0.008102273,0.007456774,-0.009862412,0.027597118,0.005174694,0.024624543
2017-12-18,0.009334,-0.002691384,-0.004216019,-0.005130451,-0.023196123,0.00915112,0.003741251,0.004732689,0.037524229,0.005682569,0.009333996
2017-12-19,-0.035094,-0.008253713,-0.003479958,-0.013079314,-0.006423531,-0.000506494,0.002184217,0.003450506,0.018553315,-0.018560743,-0.035094172
2017-12-20,-0.011857,-0.002431615,0.015796972,-0.006052369,0.008113435,-0.007011624,-0.009680659,-0.006405817,0.043758845,0.025645586,-0.011857103
